time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0,985201;0,0366;-0,0674;-0,0028;0,077
0,989456;0,0437;-0,0286;0,0157;0,055
0,995444;0,0126;-0,0209;0,0053;0,025
1,000997;0,0337;-0,0394;0,0045;0,052
1,004542;0,0261;-0,0032;0,0348;0,044
1,009473;0,0540;0,0421;0,0103;0,069
1,013512;-0,0060;0,0584;-0,0231;0,063
1,019336;-0,0012;0,0557;-0,0303;0,063
1,024440;0,0063;0,0860;-0,0252;0,090
1,028913;-0,0289;0,0924;-0,0295;0,101
1,033740;-0,0611;0,0915;-0,0098;0,110
1,038984;-0,0909;0,0478;0,0144;0,104
1,043588;-0,0850;0,0212;0,0408;0,097
1,049534;-0,0411;0,0090;0,0052;0,042
1,052826;-0,0214;-0,0672;0,0007;0,070
1,059110;-0,0115;-0,0548;0,0554;0,079
1,065305;0,0363;-0,0258;0,0526;0,069
1,067451;0,0788;-0,0255;0,0804;0,115
1,073185;0,0712;-0,0276;0,0916;0,119
1,078621;0,0707;0,0106;0,1050;0,127
1,087966;0,0914;0,0366;0,1066;0,145
1,089654;0,0906;0,0766;0,0797;0,143
1,092416;0,0473;0,0758;0,0604;0,108
1,101399;0,0208;0,0822;0,0412;0,094
1,103702;-0,0151;0,1121;0,0010;0,113
1,106910;-0,0245;0,1347;-0,0459;0,144
1,112783;-0,0644;0,1167;-0,0688;0,150
1,117425;-0,0899;0,0823;-0,0868;0,150
1,121442;-0,0629;0,0909;-0,1022;0,151
1,128354;-0,0478;0,0378;-0,1035;0,120
1,132386;-0,0733;-0,0124;-0,1287;0,149
1,137622;-0,0557;-0,0312;-0,0732;0,097
1,142955;-0,0526;-0,0331;-0,0611;0,087
1,147752;-0,0449;-0,0705;-0,0374;0,092
1,151355;-0,0326;-0,0769;-0,0160;0,085
1,157469;-0,0134;-0,0809;0,0646;0,104
1,165484;0,0482;-0,0825;0,0472;0,107
1,167301;0,0714;-0,0533;0,0705;0,114
1,171255;0,0919;-0,0648;0,0487;0,123
1,179370;0,1004;-0,0406;0,0342;0,114
