time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0.842395;0.2676;0.2493;0.1931;0.414
0.846241;0.3116;0.1780;0.2707;0.449
0.852355;0.3359;0.1023;0.3386;0.488
0.857253;0.3598;0.0508;0.3161;0.482
0.861939;0.3028;-0.0052;0.1898;0.357
0.875115;0.2795;0.0201;-0.0019;0.280
0.876940;0.3517;-0.0736;-0.0209;0.360
0.877933;0.3291;-0.1428;0.0888;0.370
0.881136;0.2309;-0.1879;0.2508;0.389
0.893202;0.1334;-0.1714;0.2417;0.325
0.894625;0.0935;-0.1696;0.1484;0.244
0.896629;0.0823;-0.0780;0.0950;0.148
0.901904;0.0760;0.0411;0.0715;0.112
0.905833;0.1076;0.1210;0.0203;0.163
0.911677;0.1859;0.1716;-0.0064;0.253
0.916665;0.1873;0.2408;-0.0328;0.307
0.921790;0.1312;0.2430;-0.0735;0.286
0.926082;0.0991;0.2833;-0.1096;0.320
0.931190;0.0908;0.2429;-0.1086;0.281
0.935512;0.0492;0.1605;-0.0516;0.176
0.942458;0.0316;0.1029;0.0132;0.108
0.947348;0.0330;0.0365;0.0624;0.079
0.951850;0.0392;-0.0148;0.0390;0.057
0.956502;-0.0020;-0.0227;0.1055;0.108
0.961732;-0.0713;-0.0304;0.0617;0.099
0.968003;-0.1351;-0.0663;0.0083;0.151
0.972220;-0.1555;-0.1018;-0.0738;0.200
0.976960;-0.1185;-0.1604;-0.1748;0.265
0.981741;-0.1337;-0.1755;-0.1904;0.291
0.992541;-0.1437;-0.1001;-0.1353;0.221
0.995734;-0.1637;0.2076;0.0184;0.265
0.996836;-0.1315;0.0096;-0.2193;0.256
1.010989;-0.2370;-0.0962;-0.4704;0.535
1.012222;-0.2560;-0.1390;-0.4451;0.532
1.012672;-0.1414;-0.1812;-0.4164;0.476
1.017822;-0.0129;-0.1277;-0.2367;0.269
1.020561;0.0012;-0.1076;-0.1445;0.180
1.024614;-0.0651;-0.0923;-0.0821;0.140
1.030337;-0.1115;-0.0343;-0.0202;0.118
