time;ax (m/s^2);ay (m/s^2);az (m/s^2);aT (m/s^2)
0.893258;0.5261;-0.0131;0.2123;0.567
0.894793;0.6157;-0.0129;0.2261;0.656
0.896408;0.4888;0.0111;0.1922;0.525
0.913197;0.6416;0.0018;0.2565;0.691
0.914715;0.4155;0.1397;0.1300;0.457
0.915116;0.5452;0.1506;0.2136;0.605
0.916301;0.6362;0.1568;0.1659;0.676
0.922834;0.9102;0.1298;0.1898;0.939
0.927195;0.7338;0.2004;0.1684;0.779
0.932325;0.8063;0.1732;0.1948;0.847
0.937395;0.7033;0.1891;0.1043;0.736
0.942200;0.6038;0.2144;0.1212;0.652
0.947574;0.7361;0.1992;0.0811;0.767
0.954566;0.6495;0.2104;0.0793;0.687
0.956662;0.5472;0.2048;0.0846;0.590
0.960886;0.5554;0.1709;0.0852;0.587
0.966055;0.4047;0.1516;0.0786;0.439
0.970964;0.4003;0.1182;0.0819;0.425
0.976646;0.4701;0.0590;0.1043;0.485
0.981817;0.3828;0.0620;0.1246;0.407
0.992400;0.2491;0.0246;0.1212;0.278
0.994517;0.1974;0.0136;0.1279;0.236
0.996292;0.1581;-0.0092;0.1229;0.200
1.002228;0.1097;-0.0532;0.0779;0.145
1.007403;0.0904;-0.0065;0.0667;0.113
1.012436;0.0072;0.0065;0.0629;0.064
1.015489;-0.0829;0.0384;0.0447;0.102
1.021074;-0.2176;0.1199;-0.0209;0.249
1.026257;-0.2138;0.1485;-0.0200;0.261
1.031959;-0.3197;0.2077;-0.0811;0.390
1.035367;-0.2661;0.1929;-0.0947;0.342
1.041673;-0.3082;0.2543;-0.1325;0.421
1.046861;-0.3148;0.2060;-0.1709;0.413
1.051515;-0.3836;0.1677;-0.2170;0.472
1.055557;-0.3527;0.1109;-0.2949;0.473
1.061211;-0.1844;-0.0307;-0.3138;0.365
1.066695;-0.1363;-0.0523;-0.3123;0.345
1.071447;-0.1053;-0.1116;-0.3096;0.345
1.075266;-0.1220;-0.1226;-0.3079;0.353
1.082245;-0.0534;-0.1596;-0.2763;0.324
1.093158;-0.0805;-0.2056;-0.2836;0.359
1.094600;-0.0648;-0.2726;-0.2510;0.376
1.095179;-0.0473;-0.2441;-0.2333;0.341
1.101752;-0.0278;-0.2656;-0.2063;0.337
1.106969;0.1237;-0.1280;-0.2107;0.276
1.111299;0.4115;-0.0414;-0.2344;0.475
1.114941;0.6310;0.0875;-0.2442;0.682
1.120905;0.5445;0.1845;-0.1832;0.603
1.126233;0.2890;0.1760;-0.1207;0.359
1.130438;0.3910;0.1272;-0.1160;0.427
1.134622;0.3800;0.0431;-0.0683;0.389
1.141399;0.2712;-0.0738;-0.0632;0.288
1.147336;0.1506;-0.2470;-0.0499;0.294
1.152458;0.0611;-0.3905;-0.0592;0.400
1.155416;-0.0094;-0.5072;-0.0288;0.508
1.160764;-0.0015;-0.5330;-0.0728;0.538
1.165770;0.0228;-0.5590;-0.1762;0.587
1.169902;0.0449;-0.5233;-0.2868;0.598
1.175530;0.0365;-0.4641;-0.4072;0.619
1.179290;0.0098;-0.3984;-0.4592;0.608
1.186458;-0.0016;-0.3000;-0.5267;0.606
1.192582;-0.0834;-0.2473;-0.5317;0.592
1.194471;-0.1565;-0.1641;-0.5294;0.576
1.200601;-0.2355;-0.1479;-0.5441;0.611
1.205543;-0.3136;-0.0890;-0.4619;0.565
1.212282;-0.3555;-0.0826;-0.4381;0.570
1.215414;-0.3830;-0.0620;-0.4011;0.558
1.221674;-0.4488;-0.1436;-0.3200;0.570
1.226217;-0.4315;-0.1770;-0.2616;0.535
1.230022;-0.4771;-0.2055;-0.1732;0.548
1.234338;-0.5302;-0.2054;-0.0481;0.571
1.240352;-0.4487;-0.2292;-0.0048;0.504
1.246274;-0.3665;-0.2720;0.0597;0.460
1.249955;-0.3002;-0.3051;0.1402;0.450
1.256410;-0.3276;-0.3238;0.1777;0.494
1.258745;-0.2442;-0.3617;0.2200;0.489
1.264013;-0.1717;-0.3543;0.2174;0.450
1.272394;-0.0695;-0.3923;0.2390;0.465
1.274907;0.0008;-0.3494;0.2232;0.415
1.278860;0.0489;-0.3521;0.1701;0.394
1.285219;0.1205;-0.3144;0.1107;0.354
1.290577;0.1206;-0.2866;0.0644;0.318
1.294075;0.1780;-0.2424;-0.0050;0.301
1.298524;0.2165;-0.1606;-0.0306;0.271
1.311181;0.2291;-0.0960;-0.1056;0.270
1.313757;0.2090;0.0252;-0.1536;0.261
1.314479;0.2039;0.1431;-0.2204;0.333
1.318490;0.1851;0.2174;-0.3032;0.416
1.327459;0.0910;0.2674;-0.4211;0.507
1.329488;0.0573;0.3267;-0.4745;0.579
1.333614;0.0315;0.3524;-0.5399;0.645
1.338061;-0.0413;0.3851;-0.5862;0.703
1.344707;-0.0922;0.3536;-0.6114;0.712
1.349154;-0.1211;0.3415;-0.6347;0.731
1.354869;-0.1377;0.3177;-0.6703;0.754
1.358208;-0.1447;0.3346;-0.6872;0.778
1.363035;-0.1610;0.2564;-0.6403;0.708
1.367966;-0.1675;0.2645;-0.6060;0.682
1.372797;-0.1906;0.2535;-0.5200;0.609
1.377994;-0.2065;0.2996;-0.4730;0.597
1.383773;-0.2341;0.2884;-0.4358;0.573
1.394488;-0.2758;0.2820;-0.3823;0.549
1.395939;-0.3030;0.2993;-0.3364;0.543
1.397911;-0.3445;0.2571;-0.3027;0.526
1.409921;-0.3290;0.2580;-0.2622;0.493
1.411244;-0.3520;0.2492;-0.2269;0.487
1.412531;-0.3516;0.2286;-0.1896;0.460
1.417856;-0.3255;0.2319;-0.1504;0.427
1.423769;-0.3072;0.1923;-0.1258;0.384
1.428901;-0.3086;0.1672;-0.0613;0.356
1.432184;-0.2986;0.1564;-0.0497;0.341
1.438682;-0.3130;0.1291;-0.0385;0.341
1.443689;-0.3111;0.1352;0.0272;0.340
1.449718;-0.2623;0.0936;0.0448;0.282
1.452527;-0.2191;0.0903;0.0835;0.251
1.457221;-0.1673;0.0204;0.1649;0.236
1.463418;-0.1163;-0.0324;0.1509;0.193
1.467064;-0.0328;-0.0730;0.1469;0.167
1.474107;-0.0237;-0.1561;0.1670;0.230
1.477127;0.0088;-0.1982;0.1041;0.224
1.484339;0.0527;-0.2116;0.1206;0.249
1.493416;0.0367;-0.1917;0.1160;0.227
1.494557;0.0561;-0.2173;0.1359;0.262
1.496896;0.0633;-0.1644;0.1158;0.211
1.507419;0.0798;-0.1501;0.0916;0.193
1.508878;0.0770;-0.1098;0.0942;0.164
1.512769;0.0504;-0.0747;0.0332;0.096
1.516804;0.0310;-0.0661;0.0086;0.074
1.522762;-0.0096;-0.0457;-0.0320;0.057
1.528617;-0.0119;-0.0374;-0.0720;0.082
